Designation (and name)	Prov. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2009 FS	0.912	3.926	0.00762	24.2	20131104	72.8	44.4	173.6	4.7	0.623	2.419	( 10d)	MPO156198	2009 FS	2009 03 17  G96  Mt. Lemmon Survey
	2009 FP	0.877	2.906	0.01015	23	20131104	301	126.3	343.4	6.1	0.536	1.892	( 16d)	MPO156198	2009 FP	2009 03 17  703  Catalina Sky Survey
	2009 FK	0.959	2.089	0.00033	28.3	20131104	151.6	210.4	359.7	2.8	0.371	1.524	(  2d)	MPO156198	2009 FK	2009 03 17  703  Catalina Sky Survey
	2009 FJ	0.958	3.458	0.00092	24.9	20131104	156.3	150.5	353.7	0.9	0.566	2.208	( 31d)	MPO157522	2009 FJ	2009 03 17  703  Catalina Sky Survey
	2009 FH	0.975	1.976	0.00007	26.6	20131104	199.3	24.1	176.6	0.7	0.339	1.475	(  1d)	MPO156198	2009 FH	2009 03 17  703  Catalina Sky Survey
	2009 FG	0.927	3.012	0.00047	25.5	20131104	258.6	78.8	45.8	0	0.529	1.969	( 16d)	MPO156198	2009 FG	2009 03 16  G96  Mt. Lemmon Survey
	2009 FF	0.784	2.165	0.01508	21.7	20131104	162.8	10.9	266	1	0.468	1.474	( 42d)	MPO157522	2009 FF	2009 03 16  G96  Mt. Lemmon Survey
	2009 FE	0.989	4.079	0.00125	21.3	20131104	39.8	201	39.9	1.9	0.61	2.534	3	MPO266916	2009 FE	2009 03 16  691  Spacewatch
	2009 FD	0.59	1.736	0.00259	22.1	20131104	196	281.3	9.5	3.1	0.493	1.163	3	E2014-D13	2009 FD	2009 03 16  J75
	2009 EH3	0.769	3.231	0.00547	24.2	20131104	249.3	297.2	159.6	6.2	0.615	2	( 13d)	MPO156196	2009 EH3	2009 03 15  G96  Mt. Lemmon Survey
	2009 EG3	0.618	2.089	0.08495	21.3	20131104	283.8	109.7	175.4	22.6	0.543	1.354	( 34d)	MPO157520	2009 EG3	2009 03 15  G96  Mt. Lemmon Survey
	2009 EF3	0.728	1.37	0.19576	21.5	20131104	238.8	211	177.6	16.5	0.306	1.049	2	MPO174045	2009 EF3	2009 03 15  691  Spacewatch
	2009 EO2	0.888	2.534	0.01396	19.6	20131104	42.3	220.4	264.8	11.5	0.481	1.711	2	MPO181272	2009 EO2	2009 03 05  E12  Siding Spring Survey
	2009 EK1	0.957	1.527	0.03247	21.4	20131104	260	21.7	358.5	9.1	0.23	1.242	3	MPO252083	2009 EK1	2009 03 02  G96  Mt. Lemmon Survey
	2009 EJ1	0.841	2.353	0.00016	28.4	20131104	136.5	150.1	311	0	0.473	1.597	(  0d)	MPO278246	2009 EJ1	2009 03 03  691  Spacewatch
	2009 EH1	0.763	1.585	0.00049	27.9	20131104	192.8	94.7	156.8	1	0.35	1.174	(  3d)	MPO154268	2009 EH1	2009 03 03  G96  Mt. Lemmon Survey
	2009 EF1	0.864	1.894	0.03806	24.2	20131104	349.6	108.9	350.1	12.6	0.373	1.379	(  3d)	MPO154268	2009 EF1	2009 03 03  703  Catalina Sky Survey
	2009 EC1	0.998	2.681	0.09275	22.8	20131104	325.2	126.9	3.3	12	0.457	1.84	( 45d)	MPO157520	2009 EC1	2009 03 02  703  Catalina Sky Survey
	2009 EB1	0.593	1.622	0.20305	20.4	20131104	200.5	185.4	151.4	12.6	0.464	1.108	(  1d)	MPO154268	2009 EB1	2009 03 02  G96  Mt. Lemmon Survey
	2009 EY	0.879	2.799	0.01132	26.5	20131104	331.7	102.5	2.9	1.3	0.522	1.839	(  1d)	MPO154268	2009 EY	2009 03 02  G96  Mt. Lemmon Survey
	2009 EW	0.768	1.746	0.00237	26.4	20131104	72.9	258.2	345.9	10.7	0.389	1.257	(  4d)	MPO154268	2009 EW	2009 03 02  703  Catalina Sky Survey
	2009 EV	0.824	2.632	0.02992	19.9	20131104	90.6	250.1	138.7	17	0.523	1.728	2	MPO230998	2009 EV	2009 03 02  G96  Mt. Lemmon Survey
	2009 EU	0.916	2.88	0.002	26.6	20131104	268.8	221.5	349.9	4.4	0.517	1.898	(  7d)	MPO156195	2009 EU	2009 03 02  G96  Mt. Lemmon Survey
	2009 ES	0.962	1.908	0.03889	20.5	20131104	148.8	311.2	343.8	30.3	0.33	1.435	2	MPO285714	2009 ES	2009 03 02  G96  Mt. Lemmon Survey
	2009 EP	0.869	3.024	0.02901	23.8	20131104	244.4	173.9	44.1	2.2	0.554	1.946	(  7d)	MPO156195	2009 EP	2009 03 02  703  Catalina Sky Survey
	2009 ED	0.689	1.599	0.31848	21.6	20131104	98.6	182.9	167	30.6	0.398	1.144	(  1d)	MPO154267	2009 ED	2009 03 01  G96  Mt. Lemmon Survey
	2009 EA	0.994	3.333	0.01492	26.5	20131104	162.6	18.1	162.7	8.5	0.541	2.164	(  5d)	MPO154267	2009 EA	2009 03 01  703  Catalina Sky Survey
	2009 DO111	0.755	1.344	0.00279	22.8	20131104	46.2	273.1	2.2	3	0.28	1.05	3	MPO264987	2009 DO111	2009 02 22  691  Spacewatch
	2009 DE47	0.793	1.398	0.14379	18.7	20131104	103.8	41.8	29.9	20.1	0.276	1.096	2	MPO171604	2009 DE47	2009 02 28  704  LINEAR
	2009 DJ46	0.862	1.679	0.02093	25.6	20131104	133.8	111.6	340.6	18.9	0.321	1.27	(  3d)	MPO154266	2009 DJ46	2009 02 28  704  LINEAR
	2009 DM45	0.742	1.601	0.00694	21.3	20131104	299.8	90.8	336.4	26.7	0.367	1.171	( 16d)	MPO156189	2009 DM45	2009 02 25  B01
	2009 DD45	0.987	1.495	0.00077	25.8	20131104	128.4	13.9	161.9	13.7	0.205	1.241	(  7d)	MPO156189	2009 DD45	2009 02 27  E12  Siding Spring Survey
	2009 DC45	0.89	1.933	0.00832	27.6	20131104	312	300.5	161.6	3.5	0.369	1.411	(  1d)	MPO154266	2009 DC45	2009 02 27  703  Catalina Sky Survey
	2009 DV43	0.764	3.639	0.01892	23.7	20131104	140.1	80	155.6	4.4	0.653	2.202	(  9d)	MPO156189	2009 DV43	2009 02 27  703  Catalina Sky Survey
	2009 DT43	0.854	4.258	0.0013	26.7	20131104	61	129.9	339.4	4.6	0.666	2.556	(  3d)	MPO154266	2009 DT43	2009 02 27  703  Catalina Sky Survey
	2009 DS43	0.67	1.803	0.01582	25.8	20131104	103.8	94.7	159.1	28.6	0.458	1.236	(  3d)	MPO154266	2009 DS43	2009 02 27  703  Catalina Sky Survey
	2009 DC43	0.919	2.682	0.09593	18	20131104	309.2	172.8	84.3	20.8	0.49	1.8	5	MPO248881	2009 DC43	2009 02 26  703  Catalina Sky Survey
	2009 DB43	0.913	1.292	0.00738	26.5	20131104	74.5	38.5	43.8	0.9	0.172	1.102	( 21d)	MPO156189	2009 DB43	2009 02 26  G96  Mt. Lemmon Survey
	2009 DA43	0.896	1.137	0.08344	24.6	20131104	342.8	215.4	157.9	6.7	0.118	1.017	( 21d)	MPO156189	2009 DA43	2009 02 26  G96  Mt. Lemmon Survey
	2009 DM40	0.875	1.789	0.0046	26.8	20131104	47.3	305.3	153.5	6.8	0.343	1.332	(  0d)	MPO154265	2009 DM40	2009 02 26  703  Catalina Sky Survey
	2009 DH39	0.741	2.957	0.01844	18.7	20131104	290.3	68.3	155.5	53.7	0.599	1.849	3	MPO282964	2009 DH39	2009 02 25  E12  Siding Spring Survey
	2009 DR36	0.949	2.444	0.14904	20.5	20131104	68.1	104.4	359.2	17.5	0.44	1.697	2	MPO199766	2009 DR36	2009 02 24  703  Catalina Sky Survey
	2009 DC12	0.99	1.674	0.04071	22.9	20131104	302.8	275.6	345.4	2.9	0.257	1.332	( 36d)	MPO156185	2009 DC12	2009 02 22  G96  Mt. Lemmon Survey
	2009 DB12	0.509	1.834	0.11326	21.4	20131104	314.1	232.9	149.4	26.9	0.565	1.172	( 23d)	MPO156185	2009 DB12	2009 02 22  704  LINEAR
	2009 DU10	0.97	1.999	0.00474	26.9	20131104	201.7	206.6	335	10.4	0.347	1.484	(  2d)	MPO154259	2009 DU10	2009 02 22  703  Catalina Sky Survey
	2009 DT10	0.788	3.368	0.01697	22.8	20131104	220.9	132.7	309.6	4	0.621	2.078	2	MPO222913	2009 DT10	2009 02 21  E12  Siding Spring Survey
	2009 DS10	0.908	3.516	0.03807	21	20131104	168.6	123.3	313.2	7.5	0.589	2.212	( 33d)	MPO156185	2009 DS10	2009 02 21  G96  Mt. Lemmon Survey
	2009 DQ4	0.963	2.171	0.10107	21.2	20131104	164.6	297.8	165.2	16.9	0.386	1.567	2	MPO193567	2009 DQ4	2009 02 20  E12  Siding Spring Survey
	2009 DP4	0.929	2.363	0.07866	23	20131104	103.4	119.7	340.1	19.3	0.436	1.646	( 12d)	MPO156184	2009 DP4	2009 02 20  703  Catalina Sky Survey
	2009 DN4	0.934	1.524	0.00672	26	20131104	128.4	53.2	151.6	3.1	0.24	1.229	(  3d)	MPO154258	2009 DN4	2009 02 20  G96  Mt. Lemmon Survey
	2009 DR3	0.868	3.082	0.00898	21.5	20131104	229.6	237.4	344.8	4.1	0.561	1.975	2	MPO160607	2009 DR3	2009 02 20  703  Catalina Sky Survey
	2009 DE1	0.674	2.787	0.00048	24.3	20131104	0.8	82.6	157.3	0.9	0.611	1.73	(  6d)	MPO154257	2009 DE1	2009 02 19  703  Catalina Sky Survey
	2009 DB1	0.689	1.771	0.03865	22.9	20131104	211.6	239.8	168.1	4.4	0.44	1.23	( 25d)	MPO156184	2009 DB1	2009 02 19  703  Catalina Sky Survey
	2009 DA1	0.756	4.384	0.03913	22.3	20131104	65.2	272.7	156.4	5.9	0.706	2.57	( 12d)	MPO154257	2009 DA1	2009 02 19  J75
	2009 DV	0.528	3.31	0.00947	24.9	20131104	296.1	76.1	333.7	4.1	0.725	1.919	(  7d)	MPO154257	2009 DV	2009 02 17  704  LINEAR
	2009 CT5	0.279	3.691	0.10348	18.7	20131104	264.2	199.3	163.2	10	0.86	1.985	2	MPO285713	2009 CT5	2009 02 14  106
	2009 CS5	0.505	2.444	0.24953	19.4	20131104	160.9	316.6	320.5	30.1	0.657	1.475	( 63d)	MPO157508	2009 CS5	2009 02 14  691  Spacewatch
	2009 CR5	0.794	1.358	0.06685	22.1	20131104	326.1	321.2	316.8	5.1	0.262	1.076	2	MPO165648	2009 CR5	2009 02 14  691  Spacewatch
	2009 CB3	0.294	1.835	0.01149	19.4	20131104	159.8	229.4	158.8	21.5	0.724	1.065	2	MPO175316	2009 CB3	2009 02 04  G96  Mt. Lemmon Survey
	2009 CA3	0.75	2.534	0.07848	20	20131104	117.7	141	265.1	9.2	0.543	1.642	( 39d)	MPO156179	2009 CA3	2009 02 04  703  Catalina Sky Survey
	2009 CZ2	0.733	4.077	0.08874	18.9	20131104	105.4	89.9	341.4	16.7	0.695	2.405	( 72d)	MPO157508	2009 CZ2	2009 02 04  G96  Mt. Lemmon Survey
	2009 CX2	0.929	3.888	0.05434	23.9	20131104	105.5	90	7.2	3.8	0.614	2.408	( 26d)	MPO154251	2009 CX2	2009 02 03  704  LINEAR
	2009 CR2	0.901	5.037	0.09887	16.7	20131104	303.7	189.2	30.9	28	0.696	2.969	3	MPO277190	2009 CR2	2009 02 03  703  Catalina Sky Survey
	2009 CD2	0.972	3.017	0.0169	25.9	20131104	235.5	217.2	315.1	3.5	0.513	1.994	(  1d)	MPO152548	2009 CD2	2009 02 04  G96  Mt. Lemmon Survey
	2009 CC2	0.612	3.166	0.00143	27.8	20131104	316.6	275.1	132.3	2.6	0.676	1.889	(  0d)	MPO152548	2009 CC2	2009 02 04  703  Catalina Sky Survey
	2009 CA2	0.784	2.229	0.18316	18.7	20131104	236.1	22.7	42.9	31.7	0.48	1.507	3	MPO264986	2009 CA2	2009 02 03  703  Catalina Sky Survey
	2009 CZ1	0.757	3.741	0.00037	24.5	20131104	129.9	66.3	150.3	2.2	0.664	2.249	(  2d)	MPO152548	2009 CZ1	2009 02 03  G96  Mt. Lemmon Survey
	2009 CV1	0.856	2.777	0.03249	26	20131104	357.4	294	137.6	8.3	0.529	1.816	(  1d)	MPO152548	2009 CV1	2009 02 03  G96  Mt. Lemmon Survey
	2009 CS1	0.903	1.786	0.07468	21	20131104	316.6	255	332.6	14.9	0.328	1.345	(199d)	MPO160910	2009 CS1	2009 02 03  704  LINEAR
	2009 CZ	0.644	3.911	0.32231	18	20131104	111.3	188.9	46.6	22	0.717	2.277	3	MPO269596	2009 CZ	2009 02 03  703  Catalina Sky Survey
	2009 CV	0.946	1.279	0.01267	24.3	20131104	324	178.9	24.1	1	0.149	1.112	2	MPO162104	2009 CV	2009 02 02  198  R. Apitzsch
	2009 CT	0.67	3.042	0.05836	19.5	20131104	286.8	337.8	275.7	3.8	0.639	1.856	2	E2014-D39	2009 CT	2009 02 02  703  Catalina Sky Survey
	2009 CS	0.812	3.203	0.04081	19.7	20131104	262.8	170.6	250.1	3.2	0.596	2.008	3	MPO224686	2009 CS	2009 02 02  703  Catalina Sky Survey
	2009 CQ	0.862	1.929	0.02278	26.7	20131104	349.6	288.9	137.3	5.7	0.383	1.395	(  1d)	MPO152548	2009 CQ	2009 02 02  G96  Mt. Lemmon Survey
	2009 CP	0.983	3.322	0.02379	26.8	20131104	173.9	27.2	135.2	7.9	0.543	2.152	(  7d)	MPO154250	2009 CP	2009 02 02  G96  Mt. Lemmon Survey
	2009 CG	0.985	1.837	0.08228	22.9	20131104	326.5	307.2	140.3	18.2	0.302	1.411	( 19d)	MPO154250	2009 CG	2009 02 01  703  Catalina Sky Survey
	2009 CF	0.987	3.103	0.14604	23.6	20131104	208.7	236.3	309.5	29.6	0.517	2.045	(  1d)	MPO152548	2009 CF	2009 02 01  G96  Mt. Lemmon Survey
	2009 BG81	0.969	2.618	0.00798	27.9	20131104	344	29	128.6	3.1	0.46	1.793	(  2d)	MPO152548	2009 BG81	2009 01 31  704  LINEAR
	2009 BF81	0.927	3.187	0.00363	25.2	20131104	231.4	328.3	120.7	8.6	0.549	2.057	( 20d)	MPO154238	2009 BF81	2009 01 31  703  Catalina Sky Survey
	2009 BE81	0.991	2.055	0.03202	21	20131104	206.2	333.4	118	18.8	0.349	1.523	2	MPO200833	2009 BE81	2009 01 31  704  LINEAR
	2009 BD81	0.959	4.25	0.02498	20.7	20131104	39.3	191	344.1	12.3	0.632	2.604	( 23d)	MPO154238	2009 BD81	2009 01 31  H55
	2009 BE77	0.439	4.605	0.27425	18	20131104	49.7	26.9	201.2	21.1	0.826	2.522	4	MPO273942	2009 BE77	2009 01 30  E12  Siding Spring Survey
	2009 BD77	0.823	1.287	0.08445	20.4	20131104	213.3	63.4	338	17.5	0.22	1.055	2	MPO171571	2009 BD77	2009 01 30  703  Catalina Sky Survey
	2009 BL58	0.899	2.476	0.00653	24.7	20131104	40.9	228.6	319.9	5.4	0.467	1.687	( 13d)	MPO154235	2009 BL58	2009 01 29  703  Catalina Sky Survey
	2009 BK58	0.969	4.135	0.00157	25.8	20131104	56.7	15.3	139.1	2.6	0.62	2.552	(  3d)	MPO152546	2009 BK58	2009 01 29  703  Catalina Sky Survey
	2009 BJ58	0.534	3.168	0.01354	19.1	20131104	296	85.5	131.5	13	0.711	1.851	2	MPO285711	2009 BJ58	2009 01 29  703  Catalina Sky Survey
	2009 BH58	0.999	3.029	0.01276	23.5	20131104	237.9	351.4	147.1	3.7	0.504	2.014	( 78d)	MPO157504	2009 BH58	2009 01 28  E12  Siding Spring Survey
	2009 BG58	0.996	3.054	0.01514	26	20131104	239.5	349.3	125.1	5	0.508	2.025	( 23d)	MPO154235	2009 BG58	2009 01 28  703  Catalina Sky Survey
	2009 BF58	0.941	2.082	0.00067	27.3	20131104	220.7	145	303.3	1	0.377	1.512	( 28d)	MPO154235	2009 BF58	2009 01 28  703  Catalina Sky Survey
	2009 BD58	0.89	2.507	0.06469	22.2	20131104	31.3	65	128.4	15.6	0.476	1.698	( 17d)	MPO152546	2009 BD58	2009 01 27  704  LINEAR
	2009 BH11	0.86	3.959	0.00404	26.4	20131104	108.4	279.9	156.9	0.4	0.643	2.41	( 10d)	MPO152545	2009 BH11	2009 01 26  704  LINEAR
	2009 BG11	0.894	1.353	0.03818	22.4	20131104	309.9	256.4	301	23	0.204	1.124	(  5d)	MPO152545	2009 BG11	2009 01 26  704  LINEAR
	2009 BC11	0.923	3.686	0.04321	22.2	20131104	118	90.5	92.2	3.2	0.599	2.305	( 11d)	MPO152545	2009 BC11	2009 01 25  703  Catalina Sky Survey
	2009 BA11	0.994	2.843	0.02759	24	20131104	271.8	213.1	316.6	4.4	0.482	1.919	( 11d)	MPO174043	2009 BA11	2009 01 25  703  Catalina Sky Survey
	2009 BU5	0.534	2.781	0.06912	21.7	20131104	112	337.7	37.9	4.6	0.678	1.657	( 15d)	MPO152543	2009 BU5	2009 01 21  703  Catalina Sky Survey
	2009 BS5	0.972	2.185	0.0046	27.4	20131104	155.4	154	303.6	1.8	0.384	1.579	( 16d)	MPO152543	2009 BS5	2009 01 20  703  Catalina Sky Survey
	2009 BR5	0.689	3.35	0.00395	22.1	20131104	219.2	277.5	300.6	3.8	0.659	2.02	( 11d)	MPO152543	2009 BR5	2009 01 20  691  Spacewatch
	2009 BQ5	0.427	2.062	0.06346	23.2	20131104	205.5	45.8	310.9	11.7	0.657	1.244	( 14d)	MPO152543	2009 BQ5	2009 01 20  703  Catalina Sky Survey
	2009 BP5	0.661	3.584	0.00197	22.7	20131104	178.1	99.4	116.6	4.9	0.689	2.123	(  9d)	MPO152543	2009 BP5	2009 01 20  691  Spacewatch
	2009 BO5	0.958	1.879	0.00428	26.8	20131104	280.8	212.4	306.1	3.4	0.325	1.419	(  4d)	MPO152543	2009 BO5	2009 01 20  703  Catalina Sky Survey
	2009 BW2	0.878	1.164	0.01643	25.1	20131104	151	195	24.7	1	0.14	1.021	2	MPO239789	2009 BW2	2009 01 20  703  Catalina Sky Survey
	2009 BN2	0.897	2.681	0.00705	24.9	20131104	16	131.3	302	4.2	0.499	1.789	( 16d)	MPO152543	2009 BN2	2009 01 18  G96  Mt. Lemmon Survey
	2009 BK2	0.797	1.228	0.02544	25.3	20131104	144.2	121.3	126.4	3.6	0.213	1.013	( 13d)	MPO152543	2009 BK2	2009 01 18  G96  Mt. Lemmon Survey
	2009 BG2	0.565	4.377	0.19486	20.2	20090109	348.9	183.3	357.6	11.5	0.771	2.471	(  1d)	MPO152543	2009 BG2	2009 01 17  G96  Mt. Lemmon Survey
	2009 BF2	0.866	1.258	0.00945	25.9	20131104	197	95.8	301.2	4.6	0.184	1.062	( 17d)	MPO152543	2009 BF2	2009 01 16  704  LINEAR
	2009 BG	0.804	1.407	0.00727	25.5	20131104	99.6	93.2	300.1	5.6	0.273	1.106	( 20d)	MPO152542	2009 BG	2009 01 16  704  LINEAR
	2009 BE	0.816	2.159	0.00051	26.1	20131104	203.7	61.3	125.6	0.9	0.451	1.488	(  6d)	MPO152542	2009 BE	2009 01 16  G96  Mt. Lemmon Survey
	2009 BC	0.496	1.666	0.04967	22.8	20131104	18.3	134.7	117.5	8.6	0.541	1.081	( 12d)	MPO152542	2009 BC	2009 01 16  G96  Mt. Lemmon Survey
	2009 BB	0.368	4.456	0.21918	18.4	20131104	81.8	154.9	72.4	18.8	0.847	2.412	( 35d)	MPO154228	2009 BB	2009 01 16  704  LINEAR
	2009 AH16	0.475	3.462	0.27173	17.6	20131104	286.9	329.5	54.6	21.9	0.759	1.969	3	MPO227476	2009 AH16	2009 01 15  704  LINEAR
	2009 AG16	0.581	2.514	0.05678	21.2	20131104	214.8	257.8	110.7	28	0.624	1.548	( 20d)	MPO152542	2009 AG16	2009 01 15  704  LINEAR
	2009 AE16	0.47	2.971	0.02768	18.7	20131104	22.3	281.1	309.8	45.6	0.727	1.72	( 10d)	MPO152541	2009 AE16	2009 01 15  704  LINEAR
	2009 AC16	0.705	2.347	0.01395	21.4	20131104	162.6	99.9	106.8	18.4	0.538	1.526	( 16d)	MPO152541	2009 AC16	2009 01 15  704  LINEAR
	2009 AK15	0.748	1.873	0.20889	19.4	20131104	37.3	6.4	186.9	13.8	0.429	1.311	4	MPO237392	2009 AK15	2009 01 06  E12  Siding Spring Survey
	2009 AL	0.837	4.149	0.01106	21.8	20131104	65.8	313.8	224	3.9	0.664	2.493	( 28d)	MPO152540	2009 AL	2009 01 01  G96  Mt. Lemmon Survey
	2009 AK	0.96	4.216	0.08683	19.7	20131104	50.1	226.5	259.7	26.2	0.629	2.588	( 30d)	MPO152540	2009 AK	2009 01 01  G96  Mt. Lemmon Survey
	2008 YC33	0.981	1.69	0.09387	24.3	20131104	12.6	245.6	272.3	11.8	0.266	1.335	(  1d)	MPO151126	2008 YC33	2008 12 31  G96  Mt. Lemmon Survey
	2008 YZ32	0.394	1.681	0.05126	20.1	20131104	285.1	224.4	105.3	16.6	0.62	1.037	3	MPO192564	2008 YZ32	2008 12 31  703  Catalina Sky Survey
	2008 YY32	0.942	3.243	0.00576	25.2	20131104	207.2	212.1	284	6.1	0.55	2.092	(  4d)	MPO152532	2008 YY32	2008 12 31  703  Catalina Sky Survey
	2008 YX32	0.751	1.715	0.16591	20.8	20131104	103.9	149.9	84.8	12.7	0.391	1.233	4	MPO271254	2008 YX32	2008 12 31  703  Catalina Sky Survey
	2008 YV32	0.896	2.164	0.00195	26.3	20131104	177.9	39.7	114.5	1.1	0.414	1.53	(  9d)	MPO151126	2008 YV32	2008 12 31  G96  Mt. Lemmon Survey
	2008 YH30	0.892	2.491	0.00837	26.8	20131104	90.1	309.7	98.7	5.4	0.472	1.692	(  3d)	MPO151125	2008 YH30	2008 12 31  691  Spacewatch
	2008 YG30	0.884	2.679	0.00277	24.6	20131104	356.5	227.2	284.7	7.8	0.504	1.782	(  4d)	MPO152532	2008 YG30	2008 12 31  703  Catalina Sky Survey
	2008 YF30	0.887	1.734	0.04956	24.5	20131104	42.7	254	275	10	0.323	1.311	(  2d)	MPO151125	2008 YF30	2008 12 31  G96  Mt. Lemmon Survey
	2008 YE30	0.624	4.091	0.0575	21.2	20131104	100.4	289.3	285.2	14.2	0.735	2.358	( 40d)	MPO152532	2008 YE30	2008 12 30  691  Spacewatch
	2008 YF29	0.942	3.905	0.00231	24.1	20131104	93.7	334.3	168.6	1.5	0.611	2.424	(  9d)	MPO151125	2008 YF29	2008 12 30  703  Catalina Sky Survey
	2008 YB29	0.999	3.745	0.01725	25.7	20131104	119.1	170.1	283.1	4	0.579	2.372	( 22d)	MPO152532	2008 YB29	2008 12 30  703  Catalina Sky Survey
	2008 YZ28	0.948	4.047	0.09188	20	20131104	91.6	131.2	266.5	35.4	0.62	2.498	2	MPO254783	2008 YZ28	2008 12 30  G96  Mt. Lemmon Survey
	2008 YR27	0.56	3.949	0.12277	18.2	20131104	119.2	150	91.2	8.3	0.752	2.254	2	MPO162104	2008 YR27	2008 12 29  G96  Mt. Lemmon Survey
	2008 YQ27	0.906	1.701	0.00028	22.6	20131104	66.7	48.7	95.5	15.1	0.305	1.303	(  7d)	MPO151124	2008 YQ27	2008 12 28  704  LINEAR
	2008 YN27	0.886	3.498	0.06026	22	20131104	190.7	303.3	96.4	23.9	0.596	2.192	( 33d)	MPO152531	2008 YN27	2008 12 29  704  LINEAR
	2008 YM27	0.905	2.434	0.04164	23.4	20131104	108.8	125.6	276.1	17.7	0.458	1.67	( 18d)	MPO152531	2008 YM27	2008 12 29  704  LINEAR
	2008 YJ3	0.804	2.264	0.05965	20.2	20131104	247.7	237.3	105.6	25.6	0.476	1.534	3	MPO190674	2008 YJ3	2008 12 22  291  Spacewatch
	2008 YC3	0.97	1.062	0.00217	25.3	20131104	195.1	82.2	91.5	12	0.046	1.016	( 30d)	MPO152529	2008 YC3	2008 12 22  703  Catalina Sky Survey
	2008 YQ2	0.77	1.299	0.01945	24.8	20131104	155.8	99	91.8	23.3	0.255	1.035	(  5d)	MPO151120	2008 YQ2	2008 12 21  703  Catalina Sky Survey
	2008 YO2	0.687	2.632	0.00049	25.2	20131104	76	78.2	92.8	1.4	0.586	1.66	(  1d)	MPO151120	2008 YO2	2008 12 21  G96  Mt. Lemmon Survey
	2008 YN2	0.809	1.268	0.0069	26.3	20131104	287	264	88.5	3.5	0.221	1.038	( 13d)	MPO151120	2008 YN2	2008 12 21  G96  Mt. Lemmon Survey
	2008 YL2	0.732	2.45	0.01138	24.5	20131104	178.9	103.4	267.9	22.9	0.54	1.591	(  2d)	MPO151120	2008 YL2	2008 12 21  G96  Mt. Lemmon Survey
	2008 YJ2	0.85	2.731	0.09014	21	20131104	351.2	71.8	76.1	24.5	0.525	1.791	( 12d)	MPO151120	2008 YJ2	2008 12 20  704  LINEAR
	2008 YF	0.914	2.342	0.00301	20.9	20131104	140.6	321.1	87	22	0.438	1.628	( 37d)	MPO152529	2008 YF	2008 12 19  704  LINEAR
	2008 YA	0.46	4.842	0.46597	18	20131104	56.1	200.5	120.2	32.5	0.826	2.651	( 66d)	MPO154218	2008 YA	2008 12 16  E12  Siding Spring Survey
	2008 XW2	0.592	1.537	0.03986	20.7	20131104	225.7	259.8	71.8	26.5	0.444	1.065	( 39d)	MPO152528	2008 XW2	2008 12 06  703  Catalina Sky Survey
	2008 XU2	0.925	3.971	0.00608	25.6	20131104	108.9	334	62.4	3	0.622	2.448	( 28d)	MPO151118	2008 XU2	2008 12 06  G96  Mt. Lemmon Survey
	2008 XQ2	0.989	3.414	0.00328	20	20131104	199.5	354.9	34.7	14.5	0.551	2.201	( 57d)	MPO152528	2008 XQ2	2008 12 05  G96  Mt. Lemmon Survey
	2008 XB2	0.721	1.591	0.00545	25.1	20131104	290.3	259	270.5	2.4	0.376	1.156	(  9d)	MPO151118	2008 XB2	2008 12 04  704  LINEAR
	2008 XA2	0.913	3.946	0.01008	21.4	20131104	118.1	334.6	39.5	3	0.624	2.429	( 26d)	MPO151118	2008 XA2	2008 12 04  704  LINEAR
	2008 XM1	0.516	4.225	0.00192	22	20131104	109.9	276.2	259.8	5	0.782	2.371	(  9d)	MPO151118	2008 XM1	2008 12 04  703  Catalina Sky Survey
	2008 XC1	0.867	3.239	0.00517	23.7	20131104	227.5	43.7	86.4	4.5	0.578	2.053	(  8d)	MPO151117	2008 XC1	2008 12 03  703  Catalina Sky Survey
	2008 XB1	0.836	1.829	0.0451	20.9	20131104	106.3	84	270.4	12.7	0.373	1.333	2	MPO200831	2008 XB1	2008 12 03  703  Catalina Sky Survey
	2008 XN	0.891	3.441	0.0321	21.4	20131104	168.7	63.5	98	5.3	0.589	2.166	( 57d)	MPO202465	2008 XN	2008 12 02  G96  Mt. Lemmon Survey
	2008 XK	0.897	3.751	0.0009	27.2	20131104	131.1	40.7	75.1	5.6	0.614	2.324	(  0d)	MPO149168	2008 XK	2008 12 02  G96  Mt. Lemmon Survey
	2008 XH	0.747	1.948	0.0156	22.7	20131104	100.7	265.7	65.6	15.4	0.445	1.348	(  1d)	MPO149168	2008 XH	2008 12 01  G96  Mt. Lemmon Survey
	2008 WK96	0.875	2.617	0.00042	23.1	20131104	66	311	66.7	8.2	0.499	1.746	( 30d)	MPO151116	2008 WK96	2008 11 30  703  Catalina Sky Survey
	2008 WJ96	0.995	3.901	0.02463	25.6	20131104	94.4	222.8	247.2	2	0.594	2.448	( 22d)	MPO151116	2008 WJ96	2008 11 30  G96  Mt. Lemmon Survey
	2008 WH96	0.819	1.927	0.01671	23.1	20131104	70	259.2	75.5	7.3	0.404	1.373	(  6d)	MPO149166	2008 WH96	2008 11 30  704  LINEAR
	2008 WG96	0.532	1.569	0.00345	26.2	20131104	264.5	49.7	263.2	0.7	0.494	1.05	(  6d)	MPO149166	2008 WG96	2008 11 30  703  Catalina Sky Survey
